Country,Region,IncomeGroup
Mozambique,Sub-Saharan Africa,Low income
Mauritania,Sub-Saharan Africa,Lower middle income
Mauritius,Sub-Saharan Africa,Upper middle income
Malawi,Sub-Saharan Africa,Low income
Malaysia,East Asia & Pacific,Upper middle income
Namibia,Sub-Saharan Africa,Upper middle income
New Caledonia,East Asia & Pacific,High income
Niger,Sub-Saharan Africa,Low income
Nigeria,Sub-Saharan Africa,Lower middle income
Nicaragua,Latin America & Caribbean,Lower middle income
Netherlands,Europe & Central Asia,High income
Norway,Europe & Central Asia,High income
Nepal,South Asia,Lower middle income
Nauru,East Asia & Pacific,High income
New Zealand,East Asia & Pacific,High income
Oman,Middle East & North Africa,High income
Pakistan,South Asia,Lower middle income
Panama,Latin America & Caribbean,High income
Peru,Latin America & Caribbean,Upper middle income
Philippines,East Asia & Pacific,Lower middle income
Palau,East Asia & Pacific,Upper middle income
Papua New Guinea,East Asia & Pacific,Lower middle income
Poland,Europe & Central Asia,High income
Puerto Rico,Latin America & Caribbean,High income
North Korea,East Asia & Pacific,Low income
Portugal,Europe & Central Asia,High income
Paraguay,Latin America & Caribbean,Upper middle income
West Bank and Gaza,Middle East & North Africa,Lower middle income
French Polynesia,East Asia & Pacific,High income
Qatar,Middle East & North Africa,High income
Romania,Europe & Central Asia,High income
Russia,Europe & Central Asia,Upper middle income
Rwanda,Sub-Saharan Africa,Low income
Saudi Arabia,Middle East & North Africa,High income
Sudan,Sub-Saharan Africa,Low income
Senegal,Sub-Saharan Africa,Lower middle income
Singapore,East Asia & Pacific,High income
Solomon Islands,East Asia & Pacific,Lower middle income
Sierra Leone,Sub-Saharan Africa,Low income
El Salvador,Latin America & Caribbean,Lower middle income
San Marino,Europe & Central Asia,High income
Somalia,Sub-Saharan Africa,Low income
Serbia,Europe & Central Asia,Upper middle income
South Sudan,Sub-Saharan Africa,Low income
São Tomé and Principe,Sub-Saharan Africa,Lower middle income
Suriname,Latin America & Caribbean,Upper middle income
Slovakia,Europe & Central Asia,High income
Slovenia,Europe & Central Asia,High income
Sweden,Europe & Central Asia,High income
Eswatini,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),Latin America & Caribbean,High income
Seychelles,Sub-Saharan Africa,High income
Syria,Middle East & North Africa,Low income
Turks and Caicos Islands,Latin America & Caribbean,High income
Chad,Sub-Saharan Africa,Low income
Togo,Sub-Saharan Africa,Low income
Thailand,East Asia & Pacific,Upper middle income
Tajikistan,Europe & Central Asia,Lower middle income
Turkmenistan,Europe & Central Asia,Upper middle income
Timor-Leste,East Asia & Pacific,Lower middle income
Tonga,East Asia & Pacific,Upper middle income
Trinidad and Tobago,Latin America & Caribbean,High income
Tunisia,Middle East & North Africa,Lower middle income
Turkey,Europe & Central Asia,Upper middle income
Tuvalu,East Asia & Pacific,Upper middle income
Tanzania,Sub-Saharan Africa,Lower middle income
Uganda,Sub-Saharan Africa,Low income
Ukraine,Europe & Central Asia,Lower middle income
Uruguay,Latin America & Caribbean,High income
United States of America,North America,High income
Uzbekistan,Europe & Central Asia,Lower middle income
St Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
Venezuela,Latin America & Caribbean,
British Virgin Islands,Latin America & Caribbean,High income
Virgin Islands (US),Latin America & Caribbean,High income
Vietnam,East Asia & Pacific,Lower middle income
Vanuatu,East Asia & Pacific,Lower middle income
Samoa,East Asia & Pacific,Lower middle income
Kosovo,Europe & Central Asia,Upper middle income
Yemen,Middle East & North Africa,Low income
South Africa,Sub-Saharan Africa,Upper middle income
Zambia,Sub-Saharan Africa,Low income
Zimbabwe,Sub-Saharan Africa,Lower middle income
