Country,Year,Value,Indicator
Marshall Islands,2002,91.5,Access to drinking water and sanitation
Micronesia (Federated States of),2002,59.5,Access to drinking water and sanitation
Nauru,2002,81.0,Access to drinking water and sanitation
New Caledonia,2002,97.5,Access to drinking water and sanitation
Niue,2002,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2002,86.5,Access to drinking water and sanitation
Palau,2002,98.5,Access to drinking water and sanitation
Papua New Guinea,2002,70.5,Access to drinking water and sanitation
Samoa,2002,92.5,Access to drinking water and sanitation
Solomon Islands,2002,76.0,Access to drinking water and sanitation
Tokelau,2002,88.0,Access to drinking water and sanitation
Tonga,2002,98.0,Access to drinking water and sanitation
Tuvalu,2002,91.0,Access to drinking water and sanitation
Vanuatu,2002,81.5,Access to drinking water and sanitation
Wallis and Futuna,2002,99.0,Access to drinking water and sanitation
American Samoa,2003,82.0,Access to drinking water and sanitation
Cook Islands,2003,96.5,Access to drinking water and sanitation
Fiji,2003,94.5,Access to drinking water and sanitation
French Polynesia,2003,99.0,Access to drinking water and sanitation
Guam,2003,94.0,Access to drinking water and sanitation
Kiribati,2003,64.0,Access to drinking water and sanitation
Marshall Islands,2003,91.5,Access to drinking water and sanitation
Micronesia (Federated States of),2003,61.5,Access to drinking water and sanitation
Nauru,2003,81.0,Access to drinking water and sanitation
New Caledonia,2003,97.5,Access to drinking water and sanitation
Niue,2003,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2003,86.5,Access to drinking water and sanitation
Palau,2003,98.5,Access to drinking water and sanitation
Papua New Guinea,2003,70.5,Access to drinking water and sanitation
Samoa,2003,92.5,Access to drinking water and sanitation
Solomon Islands,2003,76.0,Access to drinking water and sanitation
Tokelau,2003,88.0,Access to drinking water and sanitation
Tonga,2003,98.0,Access to drinking water and sanitation
Tuvalu,2003,91.0,Access to drinking water and sanitation
Vanuatu,2003,81.5,Access to drinking water and sanitation
Wallis and Futuna,2003,99.0,Access to drinking water and sanitation
American Samoa,2004,82.0,Access to drinking water and sanitation
Cook Islands,2004,97.0,Access to drinking water and sanitation
Fiji,2004,94.5,Access to drinking water and sanitation
French Polynesia,2004,99.0,Access to drinking water and sanitation
Guam,2004,94.0,Access to drinking water and sanitation
Kiribati,2004,65.0,Access to drinking water and sanitation
Marshall Islands,2004,91.5,Access to drinking water and sanitation
Micronesia (Federated States of),2004,64.0,Access to drinking water and sanitation
Nauru,2004,81.5,Access to drinking water and sanitation
New Caledonia,2004,98.0,Access to drinking water and sanitation
Niue,2004,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2004,87.0,Access to drinking water and sanitation
Palau,2004,98.5,Access to drinking water and sanitation
Papua New Guinea,2004,70.5,Access to drinking water and sanitation
Samoa,2004,92.5,Access to drinking water and sanitation
Solomon Islands,2004,76.0,Access to drinking water and sanitation
Tokelau,2004,88.0,Access to drinking water and sanitation
Tonga,2004,98.0,Access to drinking water and sanitation
Tuvalu,2004,91.0,Access to drinking water and sanitation
Vanuatu,2004,81.5,Access to drinking water and sanitation
Wallis and Futuna,2004,99.0,Access to drinking water and sanitation
American Samoa,2005,82.0,Access to drinking water and sanitation
Cook Islands,2005,97.0,Access to drinking water and sanitation
Fiji,2005,94.5,Access to drinking water and sanitation
French Polynesia,2005,99.0,Access to drinking water and sanitation
Guam,2005,94.5,Access to drinking water and sanitation
Kiribati,2005,65.5,Access to drinking water and sanitation
Marshall Islands,2005,91.5,Access to drinking water and sanitation
Micronesia (Federated States of),2005,66.0,Access to drinking water and sanitation
Nauru,2005,81.5,Access to drinking water and sanitation
New Caledonia,2005,98.0,Access to drinking water and sanitation
Niue,2005,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2005,87.0,Access to drinking water and sanitation
Palau,2005,98.5,Access to drinking water and sanitation
Papua New Guinea,2005,70.5,Access to drinking water and sanitation
Samoa,2005,92.5,Access to drinking water and sanitation
Solomon Islands,2005,77.0,Access to drinking water and sanitation
Tokelau,2005,88.5,Access to drinking water and sanitation
Tonga,2005,98.0,Access to drinking water and sanitation
Tuvalu,2005,91.0,Access to drinking water and sanitation
Vanuatu,2005,81.5,Access to drinking water and sanitation
Wallis and Futuna,2005,99.0,Access to drinking water and sanitation
American Samoa,2006,82.0,Access to drinking water and sanitation
Cook Islands,2006,97.5,Access to drinking water and sanitation
Fiji,2006,95.0,Access to drinking water and sanitation
French Polynesia,2006,99.0,Access to drinking water and sanitation
Guam,2006,95.0,Access to drinking water and sanitation
Kiribati,2006,66.5,Access to drinking water and sanitation
Marshall Islands,2006,91.5,Access to drinking water and sanitation
Micronesia (Federated States of),2006,68.5,Access to drinking water and sanitation
Nauru,2006,81.5,Access to drinking water and sanitation
New Caledonia,2006,98.0,Access to drinking water and sanitation
Niue,2006,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2006,87.5,Access to drinking water and sanitation
Palau,2006,98.5,Access to drinking water and sanitation
Papua New Guinea,2006,69.5,Access to drinking water and sanitation
Samoa,2006,92.5,Access to drinking water and sanitation
Solomon Islands,2006,77.5,Access to drinking water and sanitation
Tokelau,2006,89.5,Access to drinking water and sanitation
Tonga,2006,98.0,Access to drinking water and sanitation
Tuvalu,2006,91.0,Access to drinking water and sanitation
Vanuatu,2006,81.0,Access to drinking water and sanitation
Wallis and Futuna,2006,99.0,Access to drinking water and sanitation
American Samoa,2007,82.0,Access to drinking water and sanitation
Cook Islands,2007,97.5,Access to drinking water and sanitation
Fiji,2007,95.5,Access to drinking water and sanitation
French Polynesia,2007,99.0,Access to drinking water and sanitation
Guam,2007,95.0,Access to drinking water and sanitation
Kiribati,2007,67.5,Access to drinking water and sanitation
Marshall Islands,2007,91.5,Access to drinking water and sanitation
Micronesia (Federated States of),2007,70.5,Access to drinking water and sanitation
Nauru,2007,82.0,Access to drinking water and sanitation
New Caledonia,2007,98.0,Access to drinking water and sanitation
Niue,2007,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2007,87.5,Access to drinking water and sanitation
Palau,2007,99.0,Access to drinking water and sanitation
Papua New Guinea,2007,69.5,Access to drinking water and sanitation
Samoa,2007,92.5,Access to drinking water and sanitation
Solomon Islands,2007,78.5,Access to drinking water and sanitation
Tokelau,2007,90.0,Access to drinking water and sanitation
Tonga,2007,98.0,Access to drinking water and sanitation
Tuvalu,2007,91.5,Access to drinking water and sanitation
Vanuatu,2007,81.5,Access to drinking water and sanitation
Wallis and Futuna,2007,98.5,Access to drinking water and sanitation
American Samoa,2008,82.0,Access to drinking water and sanitation
Cook Islands,2008,97.5,Access to drinking water and sanitation
Fiji,2008,95.0,Access to drinking water and sanitation
French Polynesia,2008,99.0,Access to drinking water and sanitation
Guam,2008,95.0,Access to drinking water and sanitation
Kiribati,2008,68.0,Access to drinking water and sanitation
Marshall Islands,2008,92.0,Access to drinking water and sanitation
Micronesia (Federated States of),2008,73.0,Access to drinking water and sanitation
Nauru,2008,82.0,Access to drinking water and sanitation
New Caledonia,2008,98.5,Access to drinking water and sanitation
Niue,2008,99.0,Access to drinking water and sanitation
Northern Mariana Islands,2008,88.0,Access to drinking water and sanitation
Palau,2008,99.0,Access to drinking water and sanitation
Papua New Guinea,2008,69.5,Access to drinking water and sanitation
Samoa,2008,92.5,Access to drinking water and sanitation
Solomon Islands,2008,79.0,Access to drinking water and sanitation
Tokelau,2008,91.0,Access to drinking water and sanitation
Tonga,2008,98.5,Access to drinking water and sanitation
Tuvalu,2008,92.0,Access to drinking water and sanitation
Vanuatu,2008,81.5,Access to drinking water and sanitation
Wallis and Futuna,2008,98.5,Access to drinking water and sanitation
American Samoa,2009,81.5,Access to drinking water and sanitation
Cook Islands,2009,98.0,Access to drinking water and sanitation
Fiji,2009,95.5,Access to drinking water and sanitation
French Polynesia,2009,99.0,Access to drinking water and sanitation
Guam,2009,95.0,Access to drinking water and sanitation
Kiribati,2009,68.5,Access to drinking water and sanitation
Marshall Islands,2009,92.0,Access to drinking water and sanitation
Micronesia (Federated States of),2009,75.0,Access to drinking water and sanitation
Nauru,2009,82.0,Access to drinking water and sanitation
New Caledonia,2009,98.5,Access to drinking water and sanitation
Niue,2009,98.5,Access to drinking water and sanitation
Northern Mariana Islands,2009,88.0,Access to drinking water and sanitation
Palau,2009,99.0,Access to drinking water and sanitation
Papua New Guinea,2009,69.0,Access to drinking water and sanitation
Samoa,2009,93.0,Access to drinking water and sanitation
Solomon Islands,2009,79.5,Access to drinking water and sanitation
Tokelau,2009,92.0,Access to drinking water and sanitation
Tonga,2009,98.5,Access to drinking water and sanitation
Tuvalu,2009,92.0,Access to drinking water and sanitation
Vanuatu,2009,81.5,Access to drinking water and sanitation
Wallis and Futuna,2009,98.5,Access to drinking water and sanitation
American Samoa,2010,81.0,Access to drinking water and sanitation
Cook Islands,2010,98.0,Access to drinking water and sanitation
Fiji,2010,96.0,Access to drinking water and sanitation
French Polynesia,2010,99.0,Access to drinking water and sanitation
Guam,2010,95.0,Access to drinking water and sanitation
Kiribati,2010,69.0,Access to drinking water and sanitation
Marshall Islands,2010,92.0,Access to drinking water and sanitation
Micronesia (Federated States of),2010,77.0,Access to drinking water and sanitation
Nauru,2010,82.5,Access to drinking water and sanitation
New Caledonia,2010,98.5,Access to drinking water and sanitation
Niue,2010,98.5,Access to drinking water and sanitation
Northern Mariana Islands,2010,88.0,Access to drinking water and sanitation
Palau,2010,99.0,Access to drinking water and sanitation
Papua New Guinea,2010,69.0,Access to drinking water and sanitation
Samoa,2010,93.5,Access to drinking water and sanitation
Solomon Islands,2010,80.5,Access to drinking water and sanitation
Tokelau,2010,92.5,Access to drinking water and sanitation
Tonga,2010,99.0,Access to drinking water and sanitation
Tuvalu,2010,92.0,Access to drinking water and sanitation
Vanuatu,2010,82.0,Access to drinking water and sanitation
Wallis and Futuna,2010,97.5,Access to drinking water and sanitation
American Samoa,2011,80.0,Access to drinking water and sanitation
Cook Islands,2011,98.0,Access to drinking water and sanitation
Fiji,2011,96.0,Access to drinking water and sanitation
French Polynesia,2011,98.5,Access to drinking water and sanitation
Guam,2011,95.0,Access to drinking water and sanitation
Kiribati,2011,69.0,Access to drinking water and sanitation
Marshall Islands,2011,92.0,Access to drinking water and sanitation
Micronesia (Federated States of),2011,79.5,Access to drinking water and sanitation
Nauru,2011,82.5,Access to drinking water and sanitation
New Caledonia,2011,98.5,Access to drinking water and sanitation
Niue,2011,98.0,Access to drinking water and sanitation
Northern Mariana Islands,2011,88.5,Access to drinking water and sanitation
Palau,2011,99.0,Access to drinking water and sanitation
Papua New Guinea,2011,69.0,Access to drinking water and sanitation
Samoa,2011,93.5,Access to drinking water and sanitation
Solomon Islands,2011,81.0,Access to drinking water and sanitation
Tokelau,2011,93.5,Access to drinking water and sanitation
Tonga,2011,98.5,Access to drinking water and sanitation
Tuvalu,2011,92.5,Access to drinking water and sanitation
Vanuatu,2011,82.0,Access to drinking water and sanitation
Wallis and Futuna,2011,97.5,Access to drinking water and sanitation
American Samoa,2012,79.5,Access to drinking water and sanitation
Cook Islands,2012,98.5,Access to drinking water and sanitation
Fiji,2012,96.5,Access to drinking water and sanitation
French Polynesia,2012,98.5,Access to drinking water and sanitation
Guam,2012,95.0,Access to drinking water and sanitation
Kiribati,2012,69.5,Access to drinking water and sanitation
Marshall Islands,2012,92.0,Access to drinking water and sanitation
Micronesia (Federated States of),2012,82.0,Access to drinking water and sanitation
Nauru,2012,82.5,Access to drinking water and sanitation
New Caledonia,2012,98.5,Access to drinking water and sanitation
Niue,2012,98.0,Access to drinking water and sanitation
Northern Mariana Islands,2012,88.5,Access to drinking water and sanitation
Palau,2012,99.5,Access to drinking water and sanitation
Papua New Guinea,2012,68.5,Access to drinking water and sanitation
Samoa,2012,93.5,Access to drinking water and sanitation
Solomon Islands,2012,82.0,Access to drinking water and sanitation
Tokelau,2012,94.0,Access to drinking water and sanitation
Tonga,2012,98.5,Access to drinking water and sanitation
Tuvalu,2012,92.5,Access to drinking water and sanitation
Vanuatu,2012,82.0,Access to drinking water and sanitation
Wallis and Futuna,2012,97.5,Access to drinking water and sanitation
American Samoa,2013,79.0,Access to drinking water and sanitation
Cook Islands,2013,98.5,Access to drinking water and sanitation
Fiji,2013,97.0,Access to drinking water and sanitation
French Polynesia,2013,98.5,Access to drinking water and sanitation
Guam,2013,95.0,Access to drinking water and sanitation
Kiribati,2013,70.0,Access to drinking water and sanitation
Marshall Islands,2013,92.0,Access to drinking water and sanitation
Micronesia (Federated States of),2013,84.0,Access to drinking water and sanitation
Nauru,2013,83.0,Access to drinking water and sanitation
New Caledonia,2013,99.0,Access to drinking water and sanitation
Niue,2013,98.0,Access to drinking water and sanitation
Northern Mariana Islands,2013,89.0,Access to drinking water and sanitation
Palau,2013,99.5,Access to drinking water and sanitation
Papua New Guinea,2013,68.5,Access to drinking water and sanitation
Samoa,2013,93.5,Access to drinking water and sanitation
Solomon Islands,2013,82.5,Access to drinking water and sanitation
Tokelau,2013,95.0,Access to drinking water and sanitation
Tonga,2013,98.5,Access to drinking water and sanitation
Tuvalu,2013,92.5,Access to drinking water and sanitation
Vanuatu,2013,81.5,Access to drinking water and sanitation
Wallis and Futuna,2013,97.0,Access to drinking water and sanitation
American Samoa,2014,79.0,Access to drinking water and sanitation
Cook Islands,2014,99.0,Access to drinking water and sanitation
Fiji,2014,97.0,Access to drinking water and sanitation
French Polynesia,2014,98.5,Access to drinking water and sanitation
Guam,2014,95.0,Access to drinking water and sanitation
Kiribati,2014,70.0,Access to drinking water and sanitation
Marshall Islands,2014,92.5,Access to drinking water and sanitation
Micronesia (Federated States of),2014,86.0,Access to drinking water and sanitation
Nauru,2014,83.0,Access to drinking water and sanitation
New Caledonia,2014,99.0,Access to drinking water and sanitation
Niue,2014,97.5,Access to drinking water and sanitation
Northern Mariana Islands,2014,89.0,Access to drinking water and sanitation
Palau,2014,99.5,Access to drinking water and sanitation
Papua New Guinea,2014,68.5,Access to drinking water and sanitation
Samoa,2014,93.5,Access to drinking water and sanitation
Solomon Islands,2014,83.0,Access to drinking water and sanitation
Tokelau,2014,96.0,Access to drinking water and sanitation
Tonga,2014,98.0,Access to drinking water and sanitation
Tuvalu,2014,92.5,Access to drinking water and sanitation
Vanuatu,2014,82.0,Access to drinking water and sanitation
Wallis and Futuna,2014,97.0,Access to drinking water and sanitation
American Samoa,2015,78.5,Access to drinking water and sanitation
Cook Islands,2015,99.0,Access to drinking water and sanitation
Fiji,2015,97.5,Access to drinking water and sanitation
French Polynesia,2015,98.5,Access to drinking water and sanitation
Guam,2015,95.0,Access to drinking water and sanitation
Kiribati,2015,70.0,Access to drinking water and sanitation
Marshall Islands,2015,92.5,Access to drinking water and sanitation
Micronesia (Federated States of),2015,88.0,Access to drinking water and sanitation
Nauru,2015,83.0,Access to drinking water and sanitation
New Caledonia,2015,99.0,Access to drinking water and sanitation
Niue,2015,97.5,Access to drinking water and sanitation
Northern Mariana Islands,2015,89.0,Access to drinking water and sanitation
Palau,2015,99.5,Access to drinking water and sanitation
Papua New Guinea,2015,68.5,Access to drinking water and sanitation
Samoa,2015,94.0,Access to drinking water and sanitation
Solomon Islands,2015,84.0,Access to drinking water and sanitation
Tokelau,2015,96.5,Access to drinking water and sanitation
Tonga,2015,98.0,Access to drinking water and sanitation
Tuvalu,2015,92.5,Access to drinking water and sanitation
Vanuatu,2015,82.0,Access to drinking water and sanitation
Wallis and Futuna,2015,97.0,Access to drinking water and sanitation
American Samoa,2016,78.0,Access to drinking water and sanitation
Cook Islands,2016,99.0,Access to drinking water and sanitation
Fiji,2016,98.0,Access to drinking water and sanitation
French Polynesia,2016,98.5,Access to drinking water and sanitation
Guam,2016,95.0,Access to drinking water and sanitation
Kiribati,2016,70.0,Access to drinking water and sanitation
Marshall Islands,2016,92.5,Access to drinking water and sanitation
Micronesia (Federated States of),2016,88.0,Access to drinking water and sanitation
Nauru,2016,83.0,Access to drinking water and sanitation
New Caledonia,2016,99.0,Access to drinking water and sanitation
Niue,2016,97.0,Access to drinking water and sanitation
Northern Mariana Islands,2016,89.5,Access to drinking water and sanitation
Palau,2016,100.0,Access to drinking water and sanitation
Papua New Guinea,2016,68.0,Access to drinking water and sanitation
Samoa,2016,94.5,Access to drinking water and sanitation
Solomon Islands,2016,84.5,Access to drinking water and sanitation
Tokelau,2016,98.0,Access to drinking water and sanitation
Tonga,2016,98.0,Access to drinking water and sanitation
Tuvalu,2016,92.5,Access to drinking water and sanitation
Vanuatu,2016,82.0,Access to drinking water and sanitation
Wallis and Futuna,2016,96.5,Access to drinking water and sanitation
American Samoa,2017,77.0,Access to drinking water and sanitation
Cook Islands,2017,99.5,Access to drinking water and sanitation
Fiji,2017,98.5,Access to drinking water and sanitation
French Polynesia,2017,98.5,Access to drinking water and sanitation
Guam,2017,100.0,Access to drinking water and sanitation
Kiribati,2017,70.5,Access to drinking water and sanitation
Marshall Islands,2017,92.5,Access to drinking water and sanitation
Micronesia (Federated States of),2017,88.0,Access to drinking water and sanitation
Nauru,2017,83.0,Access to drinking water and sanitation
New Caledonia,2017,99.5,Access to drinking water and sanitation
Niue,2017,96.5,Access to drinking water and sanitation
Northern Mariana Islands,2017,89.5,Access to drinking water and sanitation
Palau,2017,100.0,Access to drinking water and sanitation
Papua New Guinea,2017,67.5,Access to drinking water and sanitation
Samoa,2017,94.5,Access to drinking water and sanitation
Solomon Islands,2017,84.5,Access to drinking water and sanitation
Tokelau,2017,98.5,Access to drinking water and sanitation
Tonga,2017,97.5,Access to drinking water and sanitation
Tuvalu,2017,92.5,Access to drinking water and sanitation
Vanuatu,2017,82.5,Access to drinking water and sanitation
Wallis and Futuna,2017,96.5,Access to drinking water and sanitation
American Samoa,2018,77.0,Access to drinking water and sanitation
Cook Islands,2018,99.5,Access to drinking water and sanitation
Fiji,2018,98.5,Access to drinking water and sanitation
French Polynesia,2018,98.5,Access to drinking water and sanitation
Guam,2018,100.0,Access to drinking water and sanitation
Kiribati,2018,70.5,Access to drinking water and sanitation
Marshall Islands,2018,92.5,Access to drinking water and sanitation
Micronesia (Federated States of),2018,88.0,Access to drinking water and sanitation
Nauru,2018,100.0,Access to drinking water and sanitation
New Caledonia,2018,99.5,Access to drinking water and sanitation
Niue,2018,96.5,Access to drinking water and sanitation
Northern Mariana Islands,2018,89.5,Access to drinking water and sanitation
Palau,2018,100.0,Access to drinking water and sanitation
Papua New Guinea,2018,68.0,Access to drinking water and sanitation
Samoa,2018,94.5,Access to drinking water and sanitation
Solomon Islands,2018,84.5,Access to drinking water and sanitation
Tokelau,2018,98.5,Access to drinking water and sanitation
Tonga,2018,97.5,Access to drinking water and sanitation
Tuvalu,2018,92.5,Access to drinking water and sanitation
Vanuatu,2018,82.5,Access to drinking water and sanitation
Wallis and Futuna,2018,96.5,Access to drinking water and sanitation
American Samoa,2019,77.0,Access to drinking water and sanitation
Cook Islands,2019,99.5,Access to drinking water and sanitation
Fiji,2019,98.5,Access to drinking water and sanitation
French Polynesia,2019,98.5,Access to drinking water and sanitation
Guam,2019,100.0,Access to drinking water and sanitation
Kiribati,2019,71.0,Access to drinking water and sanitation
Marshall Islands,2019,92.5,Access to drinking water and sanitation
Micronesia (Federated States of),2019,88.0,Access to drinking water and sanitation
Nauru,2019,100.0,Access to drinking water and sanitation
New Caledonia,2019,99.5,Access to drinking water and sanitation
Niue,2019,96.5,Access to drinking water and sanitation
Northern Mariana Islands,2019,89.5,Access to drinking water and sanitation
Palau,2019,100.0,Access to drinking water and sanitation
Papua New Guinea,2019,67.5,Access to drinking water and sanitation
Samoa,2019,94.5,Access to drinking water and sanitation
Solomon Islands,2019,84.5,Access to drinking water and sanitation
Tokelau,2019,98.5,Access to drinking water and sanitation
Tonga,2019,97.5,Access to drinking water and sanitation
Tuvalu,2019,100.0,Access to drinking water and sanitation
Vanuatu,2019,82.5,Access to drinking water and sanitation
Wallis and Futuna,2019,96.0,Access to drinking water and sanitation
American Samoa,2020,77.0,Access to drinking water and sanitation
Cook Islands,2020,99.5,Access to drinking water and sanitation
Fiji,2020,98.5,Access to drinking water and sanitation
French Polynesia,2020,98.5,Access to drinking water and sanitation
Guam,2020,100.0,Access to drinking water and sanitation
Kiribati,2020,71.5,Access to drinking water and sanitation
Marshall Islands,2020,92.5,Access to drinking water and sanitation
Micronesia (Federated States of),2020,,Access to drinking water and sanitation
Nauru,2020,100.0,Access to drinking water and sanitation
New Caledonia,2020,99.5,Access to drinking water and sanitation
Niue,2020,96.5,Access to drinking water and sanitation
Northern Mariana Islands,2020,89.5,Access to drinking water and sanitation
Palau,2020,100.0,Access to drinking water and sanitation
Papua New Guinea,2020,67.5,Access to drinking water and sanitation
Samoa,2020,94.5,Access to drinking water and sanitation
Solomon Islands,2020,84.5,Access to drinking water and sanitation
Tokelau,2020,98.5,Access to drinking water and sanitation
Tonga,2020,97.5,Access to drinking water and sanitation
Tuvalu,2020,100.0,Access to drinking water and sanitation
Vanuatu,2020,82.5,Access to drinking water and sanitation
Wallis and Futuna,2020,96.0,Access to drinking water and sanitation
Fiji,1961,71.77,Access to electricity
French Polynesia,1961,100.0,Access to electricity
Guam,1961,99.88,Access to electricity
Kiribati,1961,56.92,Access to electricity
Marshall Islands,1961,68.48,Access to electricity
Micronesia (Federated States of),1961,48.34,Access to electricity
Nauru,1961,99.04,Access to electricity
New Caledonia,1961,99.88,Access to electricity
Northern Mariana Islands,1961,99.88,Access to electricity
Palau,1961,96.76,Access to electricity
Papua New Guinea,1961,2.16,Access to electricity
Samoa,1961,81.64,Access to electricity
Solomon Islands,1961,4.52,Access to electricity
Tonga,1961,81.79,Access to electricity
Tuvalu,1961,94.84,Access to electricity
Vanuatu,1961,12.94,Access to electricity
Fiji,1962,73.09,Access to electricity
French Polynesia,1962,100.0,Access to electricity
Guam,1962,99.91,Access to electricity
Kiribati,1962,58.71,Access to electricity
Marshall Islands,1962,69.96,Access to electricity
Micronesia (Federated States of),1962,50.1,Access to electricity
Nauru,1962,99.08,Access to electricity
New Caledonia,1962,99.91,Access to electricity
Northern Mariana Islands,1962,99.92,Access to electricity
Palau,1962,96.9,Access to electricity
Papua New Guinea,1962,4.3,Access to electricity
Samoa,1962,82.42,Access to electricity
Solomon Islands,1962,7.48,Access to electricity
Tonga,1962,82.55,Access to electricity
Tuvalu,1962,94.63,Access to electricity
Vanuatu,1962,14.79,Access to electricity
Fiji,1963,74.4,Access to electricity
French Polynesia,1963,100.0,Access to electricity
Guam,1963,99.94,Access to electricity
Kiribati,1963,60.49,Access to electricity
Marshall Islands,1963,71.44,Access to electricity
Micronesia (Federated States of),1963,51.86,Access to electricity
Nauru,1963,99.12,Access to electricity
New Caledonia,1963,99.94,Access to electricity
Northern Mariana Islands,1963,99.94,Access to electricity
Palau,1963,97.04,Access to electricity
Papua New Guinea,1963,6.43,Access to electricity
Samoa,1963,80.0,Access to electricity
Solomon Islands,1963,10.43,Access to electricity
Tonga,1963,83.32,Access to electricity
Tuvalu,1963,95.23,Access to electricity
Vanuatu,1963,16.64,Access to electricity
Fiji,1964,75.72,Access to electricity
French Polynesia,1964,100.0,Access to electricity
Guam,1964,99.97,Access to electricity
Kiribati,1964,62.27,Access to electricity
Marshall Islands,1964,72.92,Access to electricity
Micronesia (Federated States of),1964,53.61,Access to electricity
Nauru,1964,99.16,Access to electricity
New Caledonia,1964,99.97,Access to electricity
Northern Mariana Islands,1964,99.97,Access to electricity
Palau,1964,97.17,Access to electricity
Papua New Guinea,1964,7.58,Access to electricity
Samoa,1964,83.99,Access to electricity
Solomon Islands,1964,13.37,Access to electricity
Tonga,1964,84.08,Access to electricity
Tuvalu,1964,95.42,Access to electricity
Vanuatu,1964,18.48,Access to electricity
Fiji,1965,77.0,Access to electricity
French Polynesia,1965,100.0,Access to electricity
Guam,1965,100.0,Access to electricity
Kiribati,1965,69.68,Access to electricity
Marshall Islands,1965,74.39,Access to electricity
Micronesia (Federated States of),1965,55.37,Access to electricity
Nauru,1965,99.2,Access to electricity
New Caledonia,1965,100.0,Access to electricity
Northern Mariana Islands,1965,100.0,Access to electricity
Palau,1965,97.3,Access to electricity
Papua New Guinea,1965,9.88,Access to electricity
Samoa,1965,84.77,Access to electricity
Solomon Islands,1965,16.31,Access to electricity
Tonga,1965,84.83,Access to electricity
Tuvalu,1965,95.6,Access to electricity
Vanuatu,1965,19.1,Access to electricity
Fiji,1966,79.63,Access to electricity
French Polynesia,1966,100.0,Access to electricity
Guam,1966,100.0,Access to electricity
Kiribati,1966,68.8,Access to electricity
Marshall Islands,1966,75.86,Access to electricity
Micronesia (Federated States of),1966,57.12,Access to electricity
Nauru,1966,99.24,Access to electricity
New Caledonia,1966,100.0,Access to electricity
Northern Mariana Islands,1966,100.0,Access to electricity
Palau,1966,97.44,Access to electricity
Papua New Guinea,1966,12.18,Access to electricity
Samoa,1966,85.54,Access to electricity
Solomon Islands,1966,19.26,Access to electricity
Tonga,1966,85.58,Access to electricity
Tuvalu,1966,95.79,Access to electricity
Vanuatu,1966,22.14,Access to electricity
Fiji,1967,80.0,Access to electricity
French Polynesia,1967,100.0,Access to electricity
Guam,1967,100.0,Access to electricity
Kiribati,1967,67.61,Access to electricity
Marshall Islands,1967,77.33,Access to electricity
Micronesia (Federated States of),1967,58.88,Access to electricity
Nauru,1967,99.27,Access to electricity
