Year,Income Group,Indicator,Avg_Income
2012,Lower middle income,Micronutrient Availability,61.1
2012,Lower middle income,Natural Capital,48.3
2012,Lower middle income,Natural Hazard Exposure,67.5
2012,Lower middle income,Nutritional Standards,48.9
2012,Lower middle income,Per Capita GDP,33.2
2012,Lower middle income,Political Stability Risk,43.4
2012,Lower middle income,Population Growth Rate,76.0
2012,Lower middle income,Poverty Population,56.4
2012,Lower middle income,Protein Quality,48.7
2012,Lower middle income,Social Capital,47.3
2012,Lower middle income,Soil Organic Content,25.0
2012,Lower middle income,Supply Chain Infrastructure,32.2
2012,Lower middle income,Sustainable Agriculture,29.0
2012,Lower middle income,Telecommunications,35.8
2012,Upper middle income,Access to Agricultural Resources,46.8
2012,Upper middle income,Access to Diversified Financial Services,50.0
2012,Upper middle income,Access to Financial Services,73.9
2012,Upper middle income,Adoptation of Innovative Technologies,23.2
2012,Upper middle income,Agricultural GDP,85.6
2012,Upper middle income,Agricultural Production Volatility,70.1
2012,Upper middle income,Agricultural R&D,38.8
2012,Upper middle income,Agricultural Trade,71.3
2012,Upper middle income,Agricultural Water Quality,39.1
2012,Upper middle income,Agricultural Water Quantity,39.1
2012,Upper middle income,Agricultural Women Empowerment,19.6
2012,Upper middle income,Armed Conflict,77.2
2012,Upper middle income,Biodiversity and Habitat,43.6
2012,Upper middle income,Community Organizations,91.3
2012,Upper middle income,Corruption,26.1
2012,Upper middle income,Crop Storage Facilities,39.1
2012,Upper middle income,Dependency on Chronic Food Aid,82.6
2012,Upper middle income,Disaster Risk Management,29.7
2012,Upper middle income,Early Warning Measures,23.9
2012,Upper middle income,Ecosystem Services,33.4
2012,Upper middle income,Financial Capital,65.6
2012,Upper middle income,Food Dietary Diversity,51.4
2012,Upper middle income,Food Loss,76.3
2012,Upper middle income,Food Price Volatility,57.8
2012,Upper middle income,Food Safety,88.0
2012,Upper middle income,Food Safety Net Programs,97.0
2012,Upper middle income,Food Security Policy Commitment,35.2
2012,Upper middle income,Food Supply Sufficiency,67.3
2012,Upper middle income,Food Systems Resilience Score,59.4
2012,Upper middle income,Forest Change,70.2
2012,Upper middle income,Gender Equality,62.7
2012,Upper middle income,Green House Emission Per Capita,43.7
2012,Upper middle income,Human Capital,74.6
2012,Upper middle income,Income Inequality,53.3
2012,Upper middle income,Irrigation Infrastructure,15.8
2012,Upper middle income,KOFGI Globalization Index,60.8
2012,Upper middle income,Labor Force Participation Rate,58.2
2012,Upper middle income,Land Degradation,61.9
2012,Upper middle income,Literacy Rate,92.1
2012,Upper middle income,Manufactured Capital,49.1
2012,Upper middle income,Micronutrient Availability,66.1
2012,Upper middle income,Natural Capital,44.0
2012,Upper middle income,Natural Hazard Exposure,68.4
2012,Upper middle income,Nutritional Standards,56.1
2012,Upper middle income,Per Capita GDP,50.9
2012,Upper middle income,Political Stability Risk,51.7
2012,Upper middle income,Population Growth Rate,86.0
2012,Upper middle income,Poverty Population,88.5
2012,Upper middle income,Protein Quality,71.6
2012,Upper middle income,Social Capital,60.0
2012,Upper middle income,Soil Organic Content,32.0
2012,Upper middle income,Supply Chain Infrastructure,45.3
2012,Upper middle income,Sustainable Agriculture,47.8
2012,Upper middle income,Telecommunications,63.1
2013,High income,Access to Agricultural Resources,47.7
2013,High income,Access to Diversified Financial Services,77.0
2013,High income,Access to Financial Services,93.2
2013,High income,Adoptation of Innovative Technologies,61.3
2013,High income,Agricultural GDP,95.4
2013,High income,Agricultural Production Volatility,67.8
2013,High income,Agricultural R&D,45.3
2013,High income,Agricultural Trade,77.0
2013,High income,Agricultural Water Quality,87.8
2013,High income,Agricultural Water Quantity,39.9
2013,High income,Agricultural Women Empowerment,18.9
2013,High income,Armed Conflict,91.9
2013,High income,Biodiversity and Habitat,55.3
2013,High income,Community Organizations,89.2
2013,High income,Corruption,65.5
2013,High income,Crop Storage Facilities,64.9
2013,High income,Dependency on Chronic Food Aid,100.0
2013,High income,Disaster Risk Management,36.3
2013,High income,Early Warning Measures,70.3
2013,High income,Ecosystem Services,36.6
2013,High income,Financial Capital,81.2
2013,High income,Food Dietary Diversity,60.9
2013,High income,Food Loss,86.9
2013,High income,Food Price Volatility,83.9
2013,High income,Food Safety,95.3
2013,High income,Food Safety Net Programs,95.9
2013,High income,Food Security Policy Commitment,13.6
2013,High income,Food Supply Sufficiency,85.1
2013,High income,Food Systems Resilience Score,69.1
2013,High income,Forest Change,75.3
2013,High income,Gender Equality,81.3
2013,High income,Green House Emission Per Capita,25.8
2013,High income,Human Capital,80.2
2013,High income,Income Inequality,72.8
2013,High income,Irrigation Infrastructure,24.9
2013,High income,KOFGI Globalization Index,73.7
2013,High income,Labor Force Participation Rate,61.7
2013,High income,Land Degradation,81.5
2013,High income,Literacy Rate,95.7
2013,High income,Manufactured Capital,61.1
2013,High income,Micronutrient Availability,71.2
2013,High income,Natural Capital,49.2
2013,High income,Natural Hazard Exposure,68.7
2013,High income,Nutritional Standards,66.1
2013,High income,Per Capita GDP,74.5
2013,High income,Political Stability Risk,73.0
2013,High income,Population Growth Rate,86.6
2013,High income,Poverty Population,98.8
2013,High income,Protein Quality,94.7
2013,High income,Social Capital,69.6
2013,High income,Soil Organic Content,36.0
2013,High income,Supply Chain Infrastructure,71.2
2013,High income,Sustainable Agriculture,63.5
2013,High income,Telecommunications,77.5
2013,Low income,Access to Agricultural Resources,57.5
2013,Low income,Access to Diversified Financial Services,2.8
2013,Low income,Access to Financial Services,19.4
2013,Low income,Adoptation of Innovative Technologies,20.4
2013,Low income,Agricultural GDP,42.4
2013,Low income,Agricultural Production Volatility,58.4
2013,Low income,Agricultural R&D,19.8
2013,Low income,Agricultural Trade,64.1
2013,Low income,Agricultural Water Quality,4.2
2013,Low income,Agricultural Water Quantity,41.7
2013,Low income,Agricultural Women Empowerment,19.4
2013,Low income,Armed Conflict,55.6
2013,Low income,Biodiversity and Habitat,46.3
2013,Low income,Community Organizations,58.3
2013,Low income,Corruption,13.9
2013,Low income,Crop Storage Facilities,27.8
2013,Low income,Dependency on Chronic Food Aid,61.1
2013,Low income,Disaster Risk Management,26.4
2013,Low income,Early Warning Measures,47.2
2013,Low income,Ecosystem Services,33.5
2013,Low income,Financial Capital,32.3
2013,Low income,Food Dietary Diversity,45.3
2013,Low income,Food Loss,64.3
2013,Low income,Food Price Volatility,43.3
2013,Low income,Food Safety,30.0
2013,Low income,Food Safety Net Programs,22.3
2013,Low income,Food Security Policy Commitment,50.8
2013,Low income,Food Supply Sufficiency,46.5
2013,Low income,Food Systems Resilience Score,43.3
2013,Low income,Forest Change,66.6
2013,Low income,Gender Equality,39.0
2013,Low income,Green House Emission Per Capita,82.0
2013,Low income,Human Capital,56.8
2013,Low income,Income Inequality,32.9
2013,Low income,Irrigation Infrastructure,2.9
2013,Low income,KOFGI Globalization Index,45.1
2013,Low income,Labor Force Participation Rate,67.2
2013,Low income,Land Degradation,72.3
2013,Low income,Literacy Rate,37.2
2013,Low income,Manufactured Capital,30.5
2013,Low income,Micronutrient Availability,73.7
2013,Low income,Natural Capital,49.8
2013,Low income,Natural Hazard Exposure,65.7
2013,Low income,Nutritional Standards,53.2
2013,Low income,Per Capita GDP,15.6
2013,Low income,Political Stability Risk,34.7
2013,Low income,Population Growth Rate,64.8
2013,Low income,Poverty Population,25.8
2013,Low income,Protein Quality,37.2
2013,Low income,Social Capital,40.8
2013,Low income,Soil Organic Content,19.0
2013,Low income,Supply Chain Infrastructure,25.8
2013,Low income,Sustainable Agriculture,36.1
2013,Low income,Telecommunications,11.7
2013,Lower middle income,Access to Agricultural Resources,52.8
2013,Lower middle income,Access to Diversified Financial Services,22.6
2013,Lower middle income,Access to Financial Services,45.2
2013,Lower middle income,Adoptation of Innovative Technologies,15.1
2013,Lower middle income,Agricultural GDP,69.0
2013,Lower middle income,Agricultural Production Volatility,68.2
2013,Lower middle income,Agricultural R&D,18.5
2013,Lower middle income,Agricultural Trade,63.7
2013,Lower middle income,Agricultural Water Quality,11.7
2013,Lower middle income,Agricultural Water Quantity,40.6
2013,Lower middle income,Agricultural Women Empowerment,16.1
2013,Lower middle income,Armed Conflict,66.9
2013,Lower middle income,Biodiversity and Habitat,40.6
2013,Lower middle income,Community Organizations,82.3
2013,Lower middle income,Corruption,12.1
2013,Lower middle income,Crop Storage Facilities,48.4
2013,Lower middle income,Dependency on Chronic Food Aid,48.4
2013,Lower middle income,Disaster Risk Management,20.5
2013,Lower middle income,Early Warning Measures,24.2
2013,Lower middle income,Ecosystem Services,36.8
2013,Lower middle income,Financial Capital,52.2
2013,Lower middle income,Food Dietary Diversity,43.7
2013,Lower middle income,Food Loss,67.6
2013,Lower middle income,Food Price Volatility,68.9
2013,Lower middle income,Food Safety,64.9
2013,Lower middle income,Food Safety Net Programs,59.0
2013,Lower middle income,Food Security Policy Commitment,38.5
2013,Lower middle income,Food Supply Sufficiency,47.2
2013,Lower middle income,Food Systems Resilience Score,50.6
2013,Lower middle income,Forest Change,65.4
2013,Lower middle income,Gender Equality,50.0
2013,Lower middle income,Green House Emission Per Capita,71.4
2013,Lower middle income,Human Capital,62.0
2013,Lower middle income,Income Inequality,44.5
2013,Lower middle income,Irrigation Infrastructure,26.9
2013,Lower middle income,KOFGI Globalization Index,52.8
2013,Lower middle income,Labor Force Participation Rate,60.4
2013,Lower middle income,Land Degradation,58.4
2013,Lower middle income,Literacy Rate,76.7
2013,Lower middle income,Manufactured Capital,39.4
2013,Lower middle income,Micronutrient Availability,61.1
2013,Lower middle income,Natural Capital,48.2
2013,Lower middle income,Natural Hazard Exposure,67.5
2013,Lower middle income,Nutritional Standards,54.1
2013,Lower middle income,Per Capita GDP,33.2
2013,Lower middle income,Political Stability Risk,44.4
2013,Lower middle income,Population Growth Rate,74.7
2013,Lower middle income,Poverty Population,57.4
2013,Lower middle income,Protein Quality,48.7
2013,Lower middle income,Social Capital,47.2
2013,Lower middle income,Soil Organic Content,25.0
2013,Lower middle income,Supply Chain Infrastructure,33.2
2013,Lower middle income,Sustainable Agriculture,30.6
2013,Lower middle income,Telecommunications,43.5
2013,Upper middle income,Access to Agricultural Resources,56.3
2013,Upper middle income,Access to Diversified Financial Services,52.2
2013,Upper middle income,Access to Financial Services,73.9
2013,Upper middle income,Adoptation of Innovative Technologies,33.3
2013,Upper middle income,Agricultural GDP,83.8
2013,Upper middle income,Agricultural Production Volatility,66.5
2013,Upper middle income,Agricultural R&D,38.2
2013,Upper middle income,Agricultural Trade,72.0
2013,Upper middle income,Agricultural Water Quality,39.1
2013,Upper middle income,Agricultural Water Quantity,39.1
2013,Upper middle income,Agricultural Women Empowerment,19.6
2013,Upper middle income,Armed Conflict,77.2
2013,Upper middle income,Biodiversity and Habitat,44.9
2013,Upper middle income,Community Organizations,91.3
2013,Upper middle income,Corruption,28.3
2013,Upper middle income,Crop Storage Facilities,47.8
2013,Upper middle income,Dependency on Chronic Food Aid,47.8
2013,Upper middle income,Disaster Risk Management,32.7
2013,Upper middle income,Early Warning Measures,23.9
2013,Upper middle income,Ecosystem Services,34.0
2013,Upper middle income,Financial Capital,65.3
2013,Upper middle income,Food Dietary Diversity,51.6
2013,Upper middle income,Food Loss,76.3
2013,Upper middle income,Food Price Volatility,69.6
2013,Upper middle income,Food Safety,88.0
2013,Upper middle income,Food Safety Net Programs,97.0
2013,Upper middle income,Food Security Policy Commitment,41.8
2013,Upper middle income,Food Supply Sufficiency,51.1
2013,Upper middle income,Food Systems Resilience Score,59.5
2013,Upper middle income,Forest Change,70.3
2013,Upper middle income,Gender Equality,63.2
2013,Upper middle income,Green House Emission Per Capita,44.0
2013,Upper middle income,Human Capital,73.7
2013,Upper middle income,Income Inequality,52.9
2013,Upper middle income,Irrigation Infrastructure,16.0
2013,Upper middle income,KOFGI Globalization Index,61.2
2013,Upper middle income,Labor Force Participation Rate,58.2
2013,Upper middle income,Land Degradation,61.9
2013,Upper middle income,Literacy Rate,91.6
2013,Upper middle income,Manufactured Capital,50.3
2013,Upper middle income,Micronutrient Availability,66.1
2013,Upper middle income,Natural Capital,44.9
2013,Upper middle income,Natural Hazard Exposure,68.4
2013,Upper middle income,Nutritional Standards,62.7
2013,Upper middle income,Per Capita GDP,50.3
2013,Upper middle income,Political Stability Risk,52.6
2013,Upper middle income,Population Growth Rate,85.5
2013,Upper middle income,Poverty Population,89.5
2013,Upper middle income,Protein Quality,71.6
2013,Upper middle income,Social Capital,58.2
2013,Upper middle income,Soil Organic Content,32.0
2013,Upper middle income,Supply Chain Infrastructure,46.1
2013,Upper middle income,Sustainable Agriculture,47.8
2013,Upper middle income,Telecommunications,70.6
2014,High income,Access to Agricultural Resources,55.6
2014,High income,Access to Diversified Financial Services,77.0
2014,High income,Access to Financial Services,94.6
2014,High income,Adoptation of Innovative Technologies,62.2
2014,High income,Agricultural GDP,95.7
2014,High income,Agricultural Production Volatility,68.7
2014,High income,Agricultural R&D,45.5
2014,High income,Agricultural Trade,77.2
2014,High income,Agricultural Water Quality,87.8
2014,High income,Agricultural Water Quantity,39.9
2014,High income,Agricultural Women Empowerment,16.2
2014,High income,Armed Conflict,92.6
2014,High income,Biodiversity and Habitat,56.2
2014,High income,Community Organizations,89.2
2014,High income,Corruption,70.3
2014,High income,Crop Storage Facilities,67.6
2014,High income,Dependency on Chronic Food Aid,97.3
2014,High income,Disaster Risk Management,43.5
2014,High income,Early Warning Measures,70.3
2014,High income,Ecosystem Services,36.6
2014,High income,Financial Capital,81.1
2014,High income,Food Dietary Diversity,61.1
2014,High income,Food Loss,87.6
2014,High income,Food Price Volatility,86.4
2014,High income,Food Safety,96.1
2014,High income,Food Safety Net Programs,99.3
2014,High income,Food Security Policy Commitment,13.6
2014,High income,Food Supply Sufficiency,84.1
2014,High income,Food Systems Resilience Score,69.5
2014,High income,Forest Change,75.4
2014,High income,Gender Equality,81.6
2014,High income,Green House Emission Per Capita,26.2
2014,High income,Human Capital,81.1
2014,High income,Income Inequality,72.8
2014,High income,Irrigation Infrastructure,25.1
2014,High income,KOFGI Globalization Index,74.1
2014,High income,Labor Force Participation Rate,61.9
2014,High income,Land Degradation,81.5
2014,High income,Literacy Rate,97.0
2014,High income,Manufactured Capital,62.2
2014,High income,Micronutrient Availability,71.2
2014,High income,Natural Capital,49.6
2014,High income,Natural Hazard Exposure,68.7
2014,High income,Nutritional Standards,74.0
2014,High income,Per Capita GDP,73.7
2014,High income,Political Stability Risk,72.3
2014,High income,Population Growth Rate,86.2
2014,High income,Poverty Population,98.7
2014,High income,Protein Quality,94.6
2014,High income,Social Capital,70.6
2014,High income,Soil Organic Content,36.0
2014,High income,Supply Chain Infrastructure,71.5
2014,High income,Sustainable Agriculture,67.6
2014,High income,Telecommunications,79.8
2014,Low income,Access to Agricultural Resources,50.9
2014,Low income,Access to Diversified Financial Services,2.8
2014,Low income,Access to Financial Services,19.4
2014,Low income,Adoptation of Innovative Technologies,20.4
2014,Low income,Agricultural GDP,46.1
2014,Low income,Agricultural Production Volatility,54.8
2014,Low income,Agricultural R&D,15.8
2014,Low income,Agricultural Trade,63.5
2014,Low income,Agricultural Water Quality,4.2
2014,Low income,Agricultural Water Quantity,41.7
2014,Low income,Agricultural Women Empowerment,19.4
2014,Low income,Armed Conflict,55.6
2014,Low income,Biodiversity and Habitat,46.5
2014,Low income,Community Organizations,58.3
2014,Low income,Corruption,19.4
2014,Low income,Crop Storage Facilities,27.8
2014,Low income,Dependency on Chronic Food Aid,61.1
2014,Low income,Disaster Risk Management,26.4
2014,Low income,Early Warning Measures,47.2
2014,Low income,Ecosystem Services,32.3
2014,Low income,Financial Capital,34.2
2014,Low income,Food Dietary Diversity,47.1
2014,Low income,Food Loss,65.9
2014,Low income,Food Price Volatility,61.7
2014,Low income,Food Safety,32.3
2014,Low income,Food Safety Net Programs,25.2
2014,Low income,Food Security Policy Commitment,50.8
2014,Low income,Food Supply Sufficiency,47.6
2014,Low income,Food Systems Resilience Score,43.6
2014,Low income,Forest Change,66.2
2014,Low income,Gender Equality,39.3
2014,Low income,Green House Emission Per Capita,82.0
2014,Low income,Human Capital,56.6
2014,Low income,Income Inequality,32.2
2014,Low income,Irrigation Infrastructure,3.1
2014,Low income,KOFGI Globalization Index,45.3
2014,Low income,Labor Force Participation Rate,67.0
2014,Low income,Land Degradation,72.3
2014,Low income,Literacy Rate,51.6
2014,Low income,Manufactured Capital,30.5
2014,Low income,Micronutrient Availability,73.7
2014,Low income,Natural Capital,49.5
2014,Low income,Natural Hazard Exposure,65.7
2014,Low income,Nutritional Standards,53.2
2014,Low income,Per Capita GDP,14.8
2014,Low income,Political Stability Risk,36.9
2014,Low income,Population Growth Rate,61.9
2014,Low income,Poverty Population,26.7
2014,Low income,Protein Quality,39.4
2014,Low income,Social Capital,41.9
2014,Low income,Soil Organic Content,19.0
2014,Low income,Supply Chain Infrastructure,25.8
2014,Low income,Sustainable Agriculture,36.1
2014,Low income,Telecommunications,16.0
2014,Lower middle income,Access to Agricultural Resources,54.7
2014,Lower middle income,Access to Diversified Financial Services,21.0
2014,Lower middle income,Access to Financial Services,45.2
2014,Lower middle income,Adoptation of Innovative Technologies,18.3
2014,Lower middle income,Agricultural GDP,70.2
2014,Lower middle income,Agricultural Production Volatility,67.8
2014,Lower middle income,Agricultural R&D,18.5
2014,Lower middle income,Agricultural Trade,64.0
2014,Lower middle income,Agricultural Water Quality,11.7
2014,Lower middle income,Agricultural Water Quantity,40.6
2014,Lower middle income,Agricultural Women Empowerment,14.5
2014,Lower middle income,Armed Conflict,63.7
2014,Lower middle income,Biodiversity and Habitat,40.8
2014,Lower middle income,Community Organizations,82.3
2014,Lower middle income,Corruption,17.7
2014,Lower middle income,Crop Storage Facilities,61.3
2014,Lower middle income,Dependency on Chronic Food Aid,67.7
2014,Lower middle income,Disaster Risk Management,24.1
2014,Lower middle income,Early Warning Measures,24.2
2014,Lower middle income,Ecosystem Services,36.0
2014,Lower middle income,Financial Capital,51.9
2014,Lower middle income,Food Dietary Diversity,44.0
2014,Lower middle income,Food Loss,67.6
2014,Lower middle income,Food Price Volatility,67.5
2014,Lower middle income,Food Safety,66.1
2014,Lower middle income,Food Safety Net Programs,60.0
2014,Lower middle income,Food Security Policy Commitment,40.2
2014,Lower middle income,Food Supply Sufficiency,57.7
2014,Lower middle income,Food Systems Resilience Score,51.4
2014,Lower middle income,Forest Change,65.2
2014,Lower middle income,Gender Equality,50.8
2014,Lower middle income,Green House Emission Per Capita,71.1
2014,Lower middle income,Human Capital,62.6
2014,Lower middle income,Income Inequality,44.7
2014,Lower middle income,Irrigation Infrastructure,27.2
2014,Lower middle income,KOFGI Globalization Index,53.3
2014,Lower middle income,Labor Force Participation Rate,60.3
2014,Lower middle income,Land Degradation,58.4
2014,Lower middle income,Literacy Rate,79.6
2014,Lower middle income,Manufactured Capital,41.2
2014,Lower middle income,Micronutrient Availability,61.1
2014,Lower middle income,Natural Capital,48.2
2014,Lower middle income,Natural Hazard Exposure,67.5
2014,Lower middle income,Nutritional Standards,57.8
2014,Lower middle income,Per Capita GDP,32.4
2014,Lower middle income,Political Stability Risk,46.6
2014,Lower middle income,Population Growth Rate,72.8
2014,Lower middle income,Poverty Population,58.9
2014,Lower middle income,Protein Quality,49.0
2014,Lower middle income,Social Capital,50.1
2014,Lower middle income,Soil Organic Content,25.0
2014,Lower middle income,Supply Chain Infrastructure,32.8
2014,Lower middle income,Sustainable Agriculture,30.6
2014,Lower middle income,Telecommunications,48.2
2014,Upper middle income,Access to Agricultural Resources,55.9
2014,Upper middle income,Access to Diversified Financial Services,56.5
2014,Upper middle income,Access to Financial Services,78.3
2014,Upper middle income,Adoptation of Innovative Technologies,36.2
2014,Upper middle income,Agricultural GDP,84.7
2014,Upper middle income,Agricultural Production Volatility,64.7
2014,Upper middle income,Agricultural R&D,41.7
2014,Upper middle income,Agricultural Trade,72.3
2014,Upper middle income,Agricultural Water Quality,39.1
2014,Upper middle income,Agricultural Water Quantity,39.1
2014,Upper middle income,Agricultural Women Empowerment,19.6
2014,Upper middle income,Armed Conflict,77.2
2014,Upper middle income,Biodiversity and Habitat,45.7
2014,Upper middle income,Community Organizations,91.3
2014,Upper middle income,Corruption,34.8
2014,Upper middle income,Crop Storage Facilities,56.5
2014,Upper middle income,Dependency on Chronic Food Aid,73.9
2014,Upper middle income,Disaster Risk Management,35.3
2014,Upper middle income,Early Warning Measures,23.9
2014,Upper middle income,Ecosystem Services,33.2
2014,Upper middle income,Financial Capital,65.9
2014,Upper middle income,Food Dietary Diversity,51.5
2014,Upper middle income,Food Loss,75.8
2014,Upper middle income,Food Price Volatility,73.9
2014,Upper middle income,Food Safety,89.7
2014,Upper middle income,Food Safety Net Programs,97.0
2014,Upper middle income,Food Security Policy Commitment,39.6
2014,Upper middle income,Food Supply Sufficiency,64.4
2014,Upper middle income,Food Systems Resilience Score,60.7
2014,Upper middle income,Forest Change,70.4
2014,Upper middle income,Gender Equality,64.0
2014,Upper middle income,Green House Emission Per Capita,44.2
2014,Upper middle income,Human Capital,75.3
2014,Upper middle income,Income Inequality,53.1
2014,Upper middle income,Irrigation Infrastructure,16.0
2014,Upper middle income,KOFGI Globalization Index,61.8
2014,Upper middle income,Labor Force Participation Rate,58.4
2014,Upper middle income,Land Degradation,61.9
2014,Upper middle income,Literacy Rate,93.9
2014,Upper middle income,Manufactured Capital,51.7
2014,Upper middle income,Micronutrient Availability,66.1
2014,Upper middle income,Natural Capital,45.2
2014,Upper middle income,Natural Hazard Exposure,68.4
2014,Upper middle income,Nutritional Standards,66.1
