Year,Region,Indicator,Avg_Region
2012,Europe & Central Asia,Nutritional Standards,59.1
2012,Europe & Central Asia,Per Capita GDP,66.1
2012,Europe & Central Asia,Political Stability Risk,65.0
2012,Europe & Central Asia,Population Growth Rate,93.5
2012,Europe & Central Asia,Poverty Population,94.9
2012,Europe & Central Asia,Protein Quality,90.8
2012,Europe & Central Asia,Social Capital,65.2
2012,Europe & Central Asia,Soil Organic Content,38.7
2012,Europe & Central Asia,Supply Chain Infrastructure,61.2
2012,Europe & Central Asia,Sustainable Agriculture,68.3
2012,Europe & Central Asia,Telecommunications,72.2
2012,Latin America & Caribbean,Access to Agricultural Resources,46.5
2012,Latin America & Caribbean,Access to Diversified Financial Services,31.6
2012,Latin America & Caribbean,Access to Financial Services,63.2
2012,Latin America & Caribbean,Adoptation of Innovative Technologies,36.8
2012,Latin America & Caribbean,Agricultural GDP,88.4
2012,Latin America & Caribbean,Agricultural Production Volatility,76.6
2012,Latin America & Caribbean,Agricultural R&D,30.2
2012,Latin America & Caribbean,Agricultural Trade,74.1
2012,Latin America & Caribbean,Agricultural Water Quality,42.1
2012,Latin America & Caribbean,Agricultural Water Quantity,52.6
2012,Latin America & Caribbean,Agricultural Women Empowerment,34.2
2012,Latin America & Caribbean,Armed Conflict,86.8
2012,Latin America & Caribbean,Biodiversity and Habitat,50.5
2012,Latin America & Caribbean,Community Organizations,100.0
2012,Latin America & Caribbean,Corruption,26.3
2012,Latin America & Caribbean,Crop Storage Facilities,31.6
2012,Latin America & Caribbean,Dependency on Chronic Food Aid,78.9
2012,Latin America & Caribbean,Disaster Risk Management,19.3
2012,Latin America & Caribbean,Early Warning Measures,18.4
2012,Latin America & Caribbean,Ecosystem Services,29.1
2012,Latin America & Caribbean,Financial Capital,68.6
2012,Latin America & Caribbean,Food Dietary Diversity,48.2
2012,Latin America & Caribbean,Food Loss,71.7
2012,Latin America & Caribbean,Food Price Volatility,58.0
2012,Latin America & Caribbean,Food Safety,83.1
2012,Latin America & Caribbean,Food Safety Net Programs,77.3
2012,Latin America & Caribbean,Food Security Policy Commitment,46.8
2012,Latin America & Caribbean,Food Supply Sufficiency,61.3
2012,Latin America & Caribbean,Food Systems Resilience Score,62.5
2012,Latin America & Caribbean,Forest Change,62.5
2012,Latin America & Caribbean,Gender Equality,55.1
2012,Latin America & Caribbean,Green House Emission Per Capita,48.9
2012,Latin America & Caribbean,Human Capital,75.4
2012,Latin America & Caribbean,Income Inequality,44.4
2012,Latin America & Caribbean,Irrigation Infrastructure,10.7
2012,Latin America & Caribbean,KOFGI Globalization Index,59.9
2012,Latin America & Caribbean,Labor Force Participation Rate,62.6
2012,Latin America & Caribbean,Land Degradation,61.5
2012,Latin America & Caribbean,Literacy Rate,92.6
2012,Latin America & Caribbean,Manufactured Capital,43.3
2012,Latin America & Caribbean,Micronutrient Availability,65.9
2012,Latin America & Caribbean,Natural Capital,46.1
2012,Latin America & Caribbean,Natural Hazard Exposure,71.0
2012,Latin America & Caribbean,Nutritional Standards,60.4
2012,Latin America & Caribbean,Per Capita GDP,56.2
2012,Latin America & Caribbean,Political Stability Risk,55.3
2012,Latin America & Caribbean,Population Growth Rate,86.3
2012,Latin America & Caribbean,Poverty Population,83.8
2012,Latin America & Caribbean,Protein Quality,65.7
2012,Latin America & Caribbean,Social Capital,62.1
2012,Latin America & Caribbean,Soil Organic Content,34.0
2012,Latin America & Caribbean,Supply Chain Infrastructure,42.1
2012,Latin America & Caribbean,Sustainable Agriculture,42.1
2012,Latin America & Caribbean,Telecommunications,58.8
2012,Middle East & North Africa,Access to Agricultural Resources,68.2
2012,Middle East & North Africa,Access to Diversified Financial Services,28.6
2012,Middle East & North Africa,Access to Financial Services,60.7
2012,Middle East & North Africa,Adoptation of Innovative Technologies,14.3
2012,Middle East & North Africa,Agricultural GDP,90.2
2012,Middle East & North Africa,Agricultural Production Volatility,57.8
2012,Middle East & North Africa,Agricultural R&D,36.6
2012,Middle East & North Africa,Agricultural Trade,67.9
2012,Middle East & North Africa,Agricultural Water Quality,67.9
2012,Middle East & North Africa,Agricultural Water Quantity,7.1
2012,Middle East & North Africa,Agricultural Women Empowerment,3.6
2012,Middle East & North Africa,Armed Conflict,66.1
2012,Middle East & North Africa,Biodiversity and Habitat,25.6
2012,Middle East & North Africa,Community Organizations,64.3
2012,Middle East & North Africa,Corruption,28.6
2012,Middle East & North Africa,Crop Storage Facilities,7.1
2012,Middle East & North Africa,Dependency on Chronic Food Aid,71.4
2012,Middle East & North Africa,Disaster Risk Management,14.9
2012,Middle East & North Africa,Early Warning Measures,14.3
2012,Middle East & North Africa,Ecosystem Services,50.4
2012,Middle East & North Africa,Financial Capital,63.4
2012,Middle East & North Africa,Food Dietary Diversity,48.5
2012,Middle East & North Africa,Food Loss,79.5
2012,Middle East & North Africa,Food Price Volatility,68.9
2012,Middle East & North Africa,Food Safety,79.3
2012,Middle East & North Africa,Food Safety Net Programs,73.4
2012,Middle East & North Africa,Food Security Policy Commitment,24.8
2012,Middle East & North Africa,Food Supply Sufficiency,67.6
2012,Middle East & North Africa,Food Systems Resilience Score,52.6
2012,Middle East & North Africa,Forest Change,73.5
2012,Middle East & North Africa,Gender Equality,56.5
2012,Middle East & North Africa,Green House Emission Per Capita,34.2
2012,Middle East & North Africa,Human Capital,66.6
2012,Middle East & North Africa,Income Inequality,60.3
2012,Middle East & North Africa,Irrigation Infrastructure,34.0
2012,Middle East & North Africa,KOFGI Globalization Index,63.2
2012,Middle East & North Africa,Labor Force Participation Rate,52.4
2012,Middle East & North Africa,Land Degradation,85.0
2012,Middle East & North Africa,Literacy Rate,84.8
2012,Middle East & North Africa,Manufactured Capital,40.4
2012,Middle East & North Africa,Micronutrient Availability,66.5
2012,Middle East & North Africa,Natural Capital,43.1
2012,Middle East & North Africa,Natural Hazard Exposure,68.9
2012,Middle East & North Africa,Nutritional Standards,47.5
2012,Middle East & North Africa,Per Capita GDP,55.9
2012,Middle East & North Africa,Political Stability Risk,37.9
2012,Middle East & North Africa,Population Growth Rate,61.8
2012,Middle East & North Africa,Poverty Population,92.2
2012,Middle East & North Africa,Protein Quality,75.5
2012,Middle East & North Africa,Social Capital,47.4
2012,Middle East & North Africa,Soil Organic Content,3.8
2012,Middle East & North Africa,Supply Chain Infrastructure,53.5
2012,Middle East & North Africa,Sustainable Agriculture,17.9
2012,Middle East & North Africa,Telecommunications,64.4
2012,North America,Access to Agricultural Resources,51.1
2012,North America,Access to Diversified Financial Services,100.0
2012,North America,Access to Financial Services,100.0
2012,North America,Adoptation of Innovative Technologies,50.0
2012,North America,Agricultural GDP,98.1
2012,North America,Agricultural Production Volatility,74.8
2012,North America,Agricultural R&D,50.7
2012,North America,Agricultural Trade,80.0
2012,North America,Agricultural Water Quality,100.0
2012,North America,Agricultural Water Quantity,62.5
2012,North America,Agricultural Women Empowerment,50.0
2012,North America,Armed Conflict,100.0
2012,North America,Biodiversity and Habitat,39.6
2012,North America,Community Organizations,100.0
2012,North America,Corruption,87.5
2012,North America,Crop Storage Facilities,50.0
2012,North America,Dependency on Chronic Food Aid,100.0
2012,North America,Disaster Risk Management,26.4
2012,North America,Early Warning Measures,100.0
2012,North America,Ecosystem Services,28.7
2012,North America,Financial Capital,89.3
2012,North America,Food Dietary Diversity,63.2
2012,North America,Food Loss,88.5
2012,North America,Food Price Volatility,77.5
2012,North America,Food Safety,98.6
2012,North America,Food Safety Net Programs,100.0
2012,North America,Food Security Policy Commitment,0.0
2012,North America,Food Supply Sufficiency,93.0
2012,North America,Food Systems Resilience Score,70.5
2012,North America,Forest Change,74.4
2012,North America,Gender Equality,80.4
2012,North America,Green House Emission Per Capita,3.6
2012,North America,Human Capital,86.7
2012,North America,Income Inequality,74.6
2012,North America,Irrigation Infrastructure,8.6
2012,North America,KOFGI Globalization Index,69.2
2012,North America,Labor Force Participation Rate,64.6
2012,North America,Land Degradation,76.7
2012,North America,Literacy Rate,NA
2012,North America,Manufactured Capital,54.8
2012,North America,Micronutrient Availability,80.3
2012,North America,Natural Capital,47.4
2012,North America,Natural Hazard Exposure,73.9
2012,North America,Nutritional Standards,85.1
2012,North America,Per Capita GDP,86.1
2012,North America,Political Stability Risk,90.0
2012,North America,Population Growth Rate,90.4
2012,North America,Poverty Population,99.3
2012,North America,Protein Quality,100.0
2012,North America,Social Capital,79.3
2012,North America,Soil Organic Content,43.6
2012,North America,Supply Chain Infrastructure,77.8
2012,North America,Sustainable Agriculture,100.0
2012,North America,Telecommunications,45.0
2012,South Asia,Access to Agricultural Resources,48.8
2012,South Asia,Access to Diversified Financial Services,10.0
2012,South Asia,Access to Financial Services,50.0
2012,South Asia,Adoptation of Innovative Technologies,13.3
2012,South Asia,Agricultural GDP,68.6
2012,South Asia,Agricultural Production Volatility,78.9
2012,South Asia,Agricultural R&D,30.4
2012,South Asia,Agricultural Trade,56.5
2012,South Asia,Agricultural Water Quality,5.0
2012,South Asia,Agricultural Water Quantity,25.0
2012,South Asia,Agricultural Women Empowerment,30.0
2012,South Asia,Armed Conflict,55.0
2012,South Asia,Biodiversity and Habitat,35.5
2012,South Asia,Community Organizations,90.0
2012,South Asia,Corruption,10.0
2012,South Asia,Crop Storage Facilities,20.0
2012,South Asia,Dependency on Chronic Food Aid,60.0
2012,South Asia,Disaster Risk Management,43.1
2012,South Asia,Early Warning Measures,0.0
2012,South Asia,Ecosystem Services,41.1
2012,South Asia,Financial Capital,50.3
2012,South Asia,Food Dietary Diversity,40.8
2012,South Asia,Food Loss,72.0
2012,South Asia,Food Price Volatility,52.1
2012,South Asia,Food Safety,66.5
2012,South Asia,Food Safety Net Programs,66.3
2012,South Asia,Food Security Policy Commitment,39.0
2012,South Asia,Food Supply Sufficiency,46.6
2012,South Asia,Food Systems Resilience Score,47.8
2012,South Asia,Forest Change,71.7
2012,South Asia,Gender Equality,46.1
2012,South Asia,Green House Emission Per Capita,79.6
2012,South Asia,Human Capital,56.4
2012,South Asia,Income Inequality,46.3
2012,South Asia,Irrigation Infrastructure,75.9
2012,South Asia,KOFGI Globalization Index,48.8
2012,South Asia,Labor Force Participation Rate,57.7
2012,South Asia,Land Degradation,44.0
2012,South Asia,Literacy Rate,56.7
2012,South Asia,Manufactured Capital,37.5
2012,South Asia,Micronutrient Availability,52.0
2012,South Asia,Natural Capital,46.7
2012,South Asia,Natural Hazard Exposure,62.3
2012,South Asia,Nutritional Standards,59.3
2012,South Asia,Per Capita GDP,28.9
2012,South Asia,Political Stability Risk,46.0
2012,South Asia,Population Growth Rate,77.8
2012,South Asia,Poverty Population,49.5
2012,South Asia,Protein Quality,41.1
2012,South Asia,Social Capital,50.2
2012,South Asia,Soil Organic Content,34.2
2012,South Asia,Supply Chain Infrastructure,28.4
2012,South Asia,Sustainable Agriculture,50.0
2012,South Asia,Telecommunications,22.0
2012,Sub-Saharan Africa,Access to Agricultural Resources,54.4
2012,Sub-Saharan Africa,Access to Diversified Financial Services,9.6
2012,Sub-Saharan Africa,Access to Financial Services,26.9
2012,Sub-Saharan Africa,Adoptation of Innovative Technologies,20.5
2012,Sub-Saharan Africa,Agricultural GDP,61.0
2012,Sub-Saharan Africa,Agricultural Production Volatility,62.2
2012,Sub-Saharan Africa,Agricultural R&D,20.5
2012,Sub-Saharan Africa,Agricultural Trade,64.4
2012,Sub-Saharan Africa,Agricultural Water Quality,2.8
2012,Sub-Saharan Africa,Agricultural Water Quantity,46.3
2012,Sub-Saharan Africa,Agricultural Women Empowerment,19.2
2012,Sub-Saharan Africa,Armed Conflict,68.3
2012,Sub-Saharan Africa,Biodiversity and Habitat,49.6
2012,Sub-Saharan Africa,Community Organizations,61.5
2012,Sub-Saharan Africa,Corruption,19.2
2012,Sub-Saharan Africa,Crop Storage Facilities,34.6
2012,Sub-Saharan Africa,Dependency on Chronic Food Aid,61.5
2012,Sub-Saharan Africa,Disaster Risk Management,22.4
2012,Sub-Saharan Africa,Early Warning Measures,44.2
2012,Sub-Saharan Africa,Ecosystem Services,35.3
2012,Sub-Saharan Africa,Financial Capital,45.9
2012,Sub-Saharan Africa,Food Dietary Diversity,47.7
2012,Sub-Saharan Africa,Food Loss,59.5
2012,Sub-Saharan Africa,Food Price Volatility,52.9
2012,Sub-Saharan Africa,Food Safety,32.2
2012,Sub-Saharan Africa,Food Safety Net Programs,35.4
2012,Sub-Saharan Africa,Food Security Policy Commitment,37.0
2012,Sub-Saharan Africa,Food Supply Sufficiency,47.6
2012,Sub-Saharan Africa,Food Systems Resilience Score,47.8
2012,Sub-Saharan Africa,Forest Change,63.1
2012,Sub-Saharan Africa,Gender Equality,40.5
2012,Sub-Saharan Africa,Green House Emission Per Capita,74.5
2012,Sub-Saharan Africa,Human Capital,59.0
2012,Sub-Saharan Africa,Income Inequality,34.0
2012,Sub-Saharan Africa,Irrigation Infrastructure,1.5
2012,Sub-Saharan Africa,KOFGI Globalization Index,48.5
2012,Sub-Saharan Africa,Labor Force Participation Rate,65.9
2012,Sub-Saharan Africa,Land Degradation,62.0
2012,Sub-Saharan Africa,Literacy Rate,68.6
2012,Sub-Saharan Africa,Manufactured Capital,35.8
2012,Sub-Saharan Africa,Micronutrient Availability,71.6
2012,Sub-Saharan Africa,Natural Capital,49.2
2012,Sub-Saharan Africa,Natural Hazard Exposure,67.4
2012,Sub-Saharan Africa,Nutritional Standards,43.8
2012,Sub-Saharan Africa,Per Capita GDP,27.3
2012,Sub-Saharan Africa,Political Stability Risk,41.0
2012,Sub-Saharan Africa,Population Growth Rate,67.1
2012,Sub-Saharan Africa,Poverty Population,25.3
2012,Sub-Saharan Africa,Protein Quality,38.9
2012,Sub-Saharan Africa,Social Capital,42.8
2012,Sub-Saharan Africa,Soil Organic Content,18.4
2012,Sub-Saharan Africa,Supply Chain Infrastructure,30.6
2012,Sub-Saharan Africa,Sustainable Agriculture,30.8
2012,Sub-Saharan Africa,Telecommunications,15.3
2013,East Asia & Pacific,Access to Agricultural Resources,50.8
2013,East Asia & Pacific,Access to Diversified Financial Services,50.0
2013,East Asia & Pacific,Access to Financial Services,67.9
2013,East Asia & Pacific,Adoptation of Innovative Technologies,26.2
2013,East Asia & Pacific,Agricultural GDP,74.0
2013,East Asia & Pacific,Agricultural Production Volatility,80.4
2013,East Asia & Pacific,Agricultural R&D,38.2
2013,East Asia & Pacific,Agricultural Trade,72.2
2013,East Asia & Pacific,Agricultural Water Quality,35.7
2013,East Asia & Pacific,Agricultural Water Quantity,46.4
2013,East Asia & Pacific,Agricultural Women Empowerment,17.9
2013,East Asia & Pacific,Armed Conflict,69.6
2013,East Asia & Pacific,Biodiversity and Habitat,37.9
2013,East Asia & Pacific,Community Organizations,89.3
2013,East Asia & Pacific,Corruption,37.5
2013,East Asia & Pacific,Crop Storage Facilities,50.0
2013,East Asia & Pacific,Dependency on Chronic Food Aid,78.6
2013,East Asia & Pacific,Disaster Risk Management,32.5
2013,East Asia & Pacific,Early Warning Measures,35.7
2013,East Asia & Pacific,Ecosystem Services,27.9
2013,East Asia & Pacific,Financial Capital,61.9
2013,East Asia & Pacific,Food Dietary Diversity,48.5
2013,East Asia & Pacific,Food Loss,80.1
2013,East Asia & Pacific,Food Price Volatility,82.6
2013,East Asia & Pacific,Food Safety,83.1
2013,East Asia & Pacific,Food Safety Net Programs,82.9
2013,East Asia & Pacific,Food Security Policy Commitment,36.1
2013,East Asia & Pacific,Food Supply Sufficiency,63.7
2013,East Asia & Pacific,Food Systems Resilience Score,58.3
2013,East Asia & Pacific,Forest Change,70.5
2013,East Asia & Pacific,Gender Equality,69.6
2013,East Asia & Pacific,Green House Emission Per Capita,51.2
2013,East Asia & Pacific,Human Capital,75.4
2013,East Asia & Pacific,Income Inequality,59.2
2013,East Asia & Pacific,Irrigation Infrastructure,36.5
2013,East Asia & Pacific,KOFGI Globalization Index,58.2
2013,East Asia & Pacific,Labor Force Participation Rate,65.6
2013,East Asia & Pacific,Land Degradation,61.3
2013,East Asia & Pacific,Literacy Rate,96.5
2013,East Asia & Pacific,Manufactured Capital,47.3
2013,East Asia & Pacific,Micronutrient Availability,61.6
2013,East Asia & Pacific,Natural Capital,44.4
2013,East Asia & Pacific,Natural Hazard Exposure,64.6
2013,East Asia & Pacific,Nutritional Standards,60.9
2013,East Asia & Pacific,Per Capita GDP,50.0
2013,East Asia & Pacific,Political Stability Risk,61.1
2013,East Asia & Pacific,Population Growth Rate,85.2
2013,East Asia & Pacific,Poverty Population,81.0
2013,East Asia & Pacific,Protein Quality,69.0
2013,East Asia & Pacific,Social Capital,60.3
2013,East Asia & Pacific,Soil Organic Content,43.9
2013,East Asia & Pacific,Supply Chain Infrastructure,53.4
2013,East Asia & Pacific,Sustainable Agriculture,32.1
2013,East Asia & Pacific,Telecommunications,60.7
2013,Europe & Central Asia,Access to Agricultural Resources,48.1
2013,Europe & Central Asia,Access to Diversified Financial Services,85.0
2013,Europe & Central Asia,Access to Financial Services,88.3
2013,Europe & Central Asia,Adoptation of Innovative Technologies,55.6
2013,Europe & Central Asia,Agricultural GDP,88.1
2013,Europe & Central Asia,Agricultural Production Volatility,58.4
2013,Europe & Central Asia,Agricultural R&D,38.3
2013,Europe & Central Asia,Agricultural Trade,73.5
2013,Europe & Central Asia,Agricultural Water Quality,70.0
2013,Europe & Central Asia,Agricultural Water Quantity,41.7
2013,Europe & Central Asia,Agricultural Women Empowerment,10.0
2013,Europe & Central Asia,Armed Conflict,86.7
2013,Europe & Central Asia,Biodiversity and Habitat,59.9
2013,Europe & Central Asia,Community Organizations,93.3
2013,Europe & Central Asia,Corruption,50.8
2013,Europe & Central Asia,Crop Storage Facilities,76.7
2013,Europe & Central Asia,Dependency on Chronic Food Aid,86.7
2013,Europe & Central Asia,Disaster Risk Management,40.0
2013,Europe & Central Asia,Early Warning Measures,80.0
2013,Europe & Central Asia,Ecosystem Services,38.3
2013,Europe & Central Asia,Financial Capital,75.9
2013,Europe & Central Asia,Food Dietary Diversity,61.1
2013,Europe & Central Asia,Food Loss,87.5
2013,Europe & Central Asia,Food Price Volatility,79.9
2013,Europe & Central Asia,Food Safety,95.4
2013,Europe & Central Asia,Food Safety Net Programs,95.8
2013,Europe & Central Asia,Food Security Policy Commitment,12.2
2013,Europe & Central Asia,Food Supply Sufficiency,79.3
2013,Europe & Central Asia,Food Systems Resilience Score,68.3
2013,Europe & Central Asia,Forest Change,77.6
2013,Europe & Central Asia,Gender Equality,82.5
2013,Europe & Central Asia,Green House Emission Per Capita,32.5
2013,Europe & Central Asia,Human Capital,79.6
2013,Europe & Central Asia,Income Inequality,72.9
2013,Europe & Central Asia,Irrigation Infrastructure,18.5
2013,Europe & Central Asia,KOFGI Globalization Index,73.2
2013,Europe & Central Asia,Labor Force Participation Rate,57.9
2013,Europe & Central Asia,Land Degradation,80.7
2013,Europe & Central Asia,Literacy Rate,98.7
2013,Europe & Central Asia,Manufactured Capital,62.8
2013,Europe & Central Asia,Micronutrient Availability,70.7
2013,Europe & Central Asia,Natural Capital,52.0
2013,Europe & Central Asia,Natural Hazard Exposure,67.9
2013,Europe & Central Asia,Nutritional Standards,59.8
2013,Europe & Central Asia,Per Capita GDP,65.7
2013,Europe & Central Asia,Political Stability Risk,64.7
2013,Europe & Central Asia,Population Growth Rate,92.9
2013,Europe & Central Asia,Poverty Population,94.9
2013,Europe & Central Asia,Protein Quality,90.8
2013,Europe & Central Asia,Social Capital,64.3
2013,Europe & Central Asia,Soil Organic Content,38.7
2013,Europe & Central Asia,Supply Chain Infrastructure,61.2
2013,Europe & Central Asia,Sustainable Agriculture,71.7
2013,Europe & Central Asia,Telecommunications,75.5
2013,Latin America & Caribbean,Access to Agricultural Resources,52.9
2013,Latin America & Caribbean,Access to Diversified Financial Services,36.8
2013,Latin America & Caribbean,Access to Financial Services,63.2
2013,Latin America & Caribbean,Adoptation of Innovative Technologies,49.1
2013,Latin America & Caribbean,Agricultural GDP,87.1
2013,Latin America & Caribbean,Agricultural Production Volatility,75.9
2013,Latin America & Caribbean,Agricultural R&D,28.8
2013,Latin America & Caribbean,Agricultural Trade,74.4
2013,Latin America & Caribbean,Agricultural Water Quality,42.1
2013,Latin America & Caribbean,Agricultural Water Quantity,52.6
2013,Latin America & Caribbean,Agricultural Women Empowerment,36.8
2013,Latin America & Caribbean,Armed Conflict,85.5
2013,Latin America & Caribbean,Biodiversity and Habitat,51.4
2013,Latin America & Caribbean,Community Organizations,100.0
2013,Latin America & Caribbean,Corruption,25.0
2013,Latin America & Caribbean,Crop Storage Facilities,47.4
2013,Latin America & Caribbean,Dependency on Chronic Food Aid,57.9
2013,Latin America & Caribbean,Disaster Risk Management,23.0
2013,Latin America & Caribbean,Early Warning Measures,18.4
2013,Latin America & Caribbean,Ecosystem Services,29.3
2013,Latin America & Caribbean,Financial Capital,68.7
2013,Latin America & Caribbean,Food Dietary Diversity,48.1
2013,Latin America & Caribbean,Food Loss,71.7
2013,Latin America & Caribbean,Food Price Volatility,67.9
2013,Latin America & Caribbean,Food Safety,85.3
2013,Latin America & Caribbean,Food Safety Net Programs,77.3
2013,Latin America & Caribbean,Food Security Policy Commitment,52.1
2013,Latin America & Caribbean,Food Supply Sufficiency,51.9
2013,Latin America & Caribbean,Food Systems Resilience Score,62.5
2013,Latin America & Caribbean,Forest Change,62.8
2013,Latin America & Caribbean,Gender Equality,55.3
2013,Latin America & Caribbean,Green House Emission Per Capita,48.7
2013,Latin America & Caribbean,Human Capital,74.3
2013,Latin America & Caribbean,Income Inequality,43.9
2013,Latin America & Caribbean,Irrigation Infrastructure,10.9
2013,Latin America & Caribbean,KOFGI Globalization Index,60.1
2013,Latin America & Caribbean,Labor Force Participation Rate,62.6
2013,Latin America & Caribbean,Land Degradation,61.5
2013,Latin America & Caribbean,Literacy Rate,91.6
2013,Latin America & Caribbean,Manufactured Capital,45.0
2013,Latin America & Caribbean,Micronutrient Availability,65.9
2013,Latin America & Caribbean,Natural Capital,46.4
2013,Latin America & Caribbean,Natural Hazard Exposure,71.0
2013,Latin America & Caribbean,Nutritional Standards,73.0
2013,Latin America & Caribbean,Per Capita GDP,55.5
2013,Latin America & Caribbean,Political Stability Risk,56.6
2013,Latin America & Caribbean,Population Growth Rate,85.4
2013,Latin America & Caribbean,Poverty Population,85.0
2013,Latin America & Caribbean,Protein Quality,65.7
2013,Latin America & Caribbean,Social Capital,62.0
2013,Latin America & Caribbean,Soil Organic Content,34.0
2013,Latin America & Caribbean,Supply Chain Infrastructure,41.7
2013,Latin America & Caribbean,Sustainable Agriculture,44.7
2013,Latin America & Caribbean,Telecommunications,63.9
